,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Kavieng,PG,82.92,broken clouds,-2.5744,150.7967,Nusa Island Retreat
445,Coahuayana,MX,87.62,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
447,Pandamatenga,BW,76.23,broken clouds,-18.5278,25.627,Wildtrack Safaris Eco Lodge
452,Sao Jose Da Coroa Grande,BR,80.73,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
456,Ghanzi,BW,77.04,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
461,Amahai,ID,78.76,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
472,Kailua,US,80.49,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
477,Paciran,ID,79.57,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
479,Palmerston,AU,85.98,scattered clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
488,Yenagoa,NG,79.02,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
492,Moussoro,TD,87.75,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
494,Gorontalo,ID,75.65,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
499,Wajid,SO,82.78,overcast clouds,3.8093,43.2471,xamdihotelresturant114
502,Ugoofaaru,MV,81.05,broken clouds,5.6667,73.0,Ungoofaaru Inn
503,Inhambane,MZ,78.42,broken clouds,-23.865,35.3833,Oceano
504,Doha,QA,84.18,clear sky,25.2867,51.5333,Mövenpick Doha
506,Innisfail,AU,76.14,overcast clouds,-17.5333,146.0333,Moondarra Motel
507,Ko Samui,TH,82.2,moderate rain,9.5357,99.9357,The Passage
510,Teacapan,MX,79.88,clear sky,22.55,-105.75,Hotel los Mangos
515,Umm Lajj,SA,75.06,clear sky,25.0213,37.2685,Moon light Furnished Units
518,Kudahuvadhoo,MV,82.0,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
520,Dabou,CI,79.29,scattered clouds,5.3256,-4.3769,Résidence N'Da
522,Santa Rita,BR,84.87,few clouds,-7.1139,-34.9781,Infinity Motel
523,Neuquen,AR,83.55,overcast clouds,-38.9516,-68.0591,Hotel del Comahue
524,Basco,PH,79.61,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
526,Salitral,PE,87.42,clear sky,-4.8572,-80.6811,Alpamayo
531,Tecoanapa,MX,84.47,broken clouds,16.5167,-98.75,Hotel Manglares
535,Kieta,PG,78.39,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
539,Mogadishu,SO,78.94,scattered clouds,2.0371,45.3438,Hotel Juba
543,Dzilam Gonzalez,MX,85.08,clear sky,21.2833,-88.9333,posadas
546,Biak,ID,76.6,overcast clouds,-0.9131,122.8766,Penginapan Kim
550,Mana,GF,80.67,broken clouds,5.6592,-53.7767,LE SAMANA
555,Oussouye,SN,81.91,overcast clouds,12.485,-16.5469,Auberge du Routard
556,Tarija,BO,76.75,overcast clouds,-21.5355,-64.7296,Hostal Granny
557,Owerri,NG,81.25,overcast clouds,5.4833,7.0304,Dream Land Hotel
558,Nabire,ID,75.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
561,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
563,Miramar,US,87.03,broken clouds,25.9873,-80.2323,Stadium Hotel
566,Bayonet Point,US,84.15,overcast clouds,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
567,Kimbe,PG,75.22,light rain,-5.5502,150.1429,Kimbe Bay Hotel
573,San Vicente,AR,76.95,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
579,Mahibadhoo,MV,80.28,overcast clouds,3.7833,72.9667,Omadhoo Inn
580,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
585,Laje,BR,78.12,heavy intensity rain,-10.1833,-40.9667,NN Pousada
591,Una,IN,75.6,clear sky,20.8167,71.0333,Hotel Harbhole
594,Natal,BR,84.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
601,Nueva Gerona,CU,82.18,scattered clouds,21.8833,-82.8,Casa de la Alegria
602,Tunkas,MX,86.14,clear sky,20.9,-88.75,Posada Tunkás
603,Gboko,NG,83.52,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
604,Rubiataba,BR,85.3,moderate rain,-15.1644,-49.8033,Pousada dos anjos
605,Linares,CL,76.39,overcast clouds,-35.85,-71.6,Hotel Real
611,Garowe,SO,76.5,clear sky,8.4054,48.4845,Sacaada Hotel
612,Anloga,GH,81.86,light rain,5.7947,0.8973,Pin Drop Hotel
616,Samarai,PG,80.24,overcast clouds,-10.6167,150.6667,Nuli Sapi
618,Tautira,PF,75.78,few clouds,-17.7333,-149.15,Pension Oaoa
619,Sao Felix Do Xingu,BR,88.38,moderate rain,-6.6447,-51.995,Rio Xingu Camping
625,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
627,Pemba,MZ,78.1,clear sky,-12.974,40.5178,Guesthouse Samotina
629,Fomboni,KM,78.76,clear sky,-12.28,43.7425,Auberge les abou
630,Hirara,JP,77.65,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
633,Santa Rosa,PH,77.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
637,Bani,DO,87.24,clear sky,18.2833,-70.3333,Hospedaje Henriquez
638,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
639,Matara,LK,77.0,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
642,Inirida,CO,83.53,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
644,Davila,PH,78.91,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
647,Honiara,SB,78.46,overcast clouds,-9.4333,159.95,Heritage Park Hotel
648,Varca,IN,76.8,clear sky,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa Panjim"
650,Veraval,IN,77.56,clear sky,20.9,70.3667,Lords Inn Somnath
659,Bambari,CF,76.48,broken clouds,5.768,20.6757,Hotel-Restaurant BIBICH
660,Hobyo,SO,80.82,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
666,Russell,US,84.9,few clouds,32.3502,-85.1999,Macs
667,Fort Myers Beach,US,87.85,few clouds,26.452,-81.9481,Lani Kai Island Resort
