City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Lebane,RS,42.9239,21.7375,48.79,87,0,2.15,clear sky
158,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,20.71,scattered clouds
159,Kathu,TH,7.9178,98.3332,84.74,85,84,9.4,broken clouds
160,Thompson,CA,55.7435,-97.8558,5.16,85,100,10.36,light snow
161,Lac Du Bonnet,CA,50.2536,-96.0612,39.02,61,100,13.09,overcast clouds
162,Luderitz,NA,-26.6481,15.1594,61.07,81,66,11.1,broken clouds
163,Lubango,AO,-14.9172,13.4925,62.24,56,0,5.64,clear sky
164,Bonavista,CA,48.6499,-53.1147,43.59,65,8,30.96,clear sky
165,Porto Novo,BJ,6.4965,2.6036,84.02,76,82,8.05,broken clouds
166,Kamina,CD,-8.7386,24.9906,64.76,95,79,3.74,light rain
167,Mindelo,CV,16.8901,-24.9804,80.15,65,75,16.11,broken clouds
168,Lagoa,PT,39.05,-27.9833,65.23,79,51,19.84,broken clouds
169,Pisco,PE,-13.7,-76.2167,68.02,77,0,11.5,clear sky
170,Norman Wells,CA,65.282,-126.8329,6.84,66,100,8.05,overcast clouds
171,Brunsbuttel,DE,53.9,9.15,58.39,78,100,3.0,overcast clouds
172,New Norfolk,AU,-42.7826,147.0587,56.71,63,90,1.79,light rain
173,Valparaiso,CL,-33.0393,-71.6273,64.99,94,100,11.5,fog
174,Plettenberg Bay,ZA,-34.0527,23.3716,60.46,80,100,2.73,overcast clouds
175,Asau,RO,46.4333,26.4,41.92,88,14,3.24,few clouds
176,Codrington,AU,-38.2667,141.9667,59.99,78,95,8.79,overcast clouds
177,Saint-Pierre,RE,-21.3393,55.4781,73.08,68,0,2.3,clear sky
178,Namibe,AO,-15.1961,12.1522,68.09,80,3,13.11,clear sky
179,Garissa,KE,-0.4536,39.6401,84.02,56,97,16.69,overcast clouds
180,Najran,SA,17.4924,44.1277,74.05,25,0,2.86,clear sky
181,Hithadhoo,MV,-0.6,73.0833,81.34,79,100,16.04,light rain
182,Kibala,TD,9.1104,18.3463,80.55,61,0,0.0,clear sky
183,Nikolskoye,RU,59.7035,30.7861,46.29,85,100,10.09,overcast clouds
184,Ulladulla,AU,-35.35,150.4667,55.33,88,5,3.38,clear sky
185,Ola,RU,59.5833,151.2833,8.38,90,100,7.54,overcast clouds
186,Puurmani,EE,58.5738,26.2878,47.28,93,100,6.51,overcast clouds
187,Coihaique,CL,-45.5752,-72.0662,66.81,48,0,6.91,clear sky
188,Mol,BE,51.192,5.1145,60.22,69,100,17.2,overcast clouds
189,Yola,NG,9.2,12.4833,85.06,28,25,2.91,scattered clouds
190,Beira,MZ,-19.8436,34.8389,79.0,80,84,11.81,broken clouds
191,Bethel,US,41.3712,-73.414,57.54,38,0,5.01,clear sky
192,Chisec,GT,15.8167,-90.2833,84.43,57,28,3.58,scattered clouds
193,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,73,20,9.13,few clouds
194,Celestun,MX,20.8667,-90.4,83.97,58,30,15.05,scattered clouds
195,Itoman,JP,26.1247,127.6694,75.22,81,40,12.66,scattered clouds
196,Ponta Do Sol,PT,32.6667,-17.1,73.0,82,100,7.67,light rain
197,Kaitangata,NZ,-46.2817,169.8464,52.12,84,89,5.59,overcast clouds
198,Mantua,IT,45.1667,10.7833,56.44,86,78,1.19,broken clouds
199,Gympie,AU,-26.1898,152.665,54.86,94,0,3.78,clear sky
200,Jamestown,US,42.097,-79.2353,54.01,49,0,11.5,clear sky
201,Timizart,DZ,36.8,4.2667,66.4,50,100,1.52,overcast clouds
202,Adelaide,AU,-34.9333,138.6,77.32,42,0,11.5,clear sky
203,Bubaque,GW,11.2833,-15.8333,83.75,60,100,10.63,overcast clouds
204,Longyearbyen,SJ,78.2186,15.6401,22.84,80,75,9.22,broken clouds
205,Naze,JP,28.3667,129.4833,72.52,74,98,13.89,overcast clouds
206,Saint-Augustin,CA,51.226,-58.6502,39.69,56,100,25.34,overcast clouds
207,Cayenne,GF,4.9333,-52.3333,84.24,79,20,4.61,few clouds
208,Carnarvon,AU,-24.8667,113.6333,65.98,69,0,10.8,clear sky
209,Sirmaur,IN,24.85,81.3833,68.97,56,0,2.53,clear sky
210,Sal Rei,CV,16.1833,-22.9167,79.0,73,75,14.97,broken clouds
211,Ratnagiri,IN,16.9833,73.3,75.83,63,5,6.82,clear sky
212,Cabo San Lucas,MX,22.8909,-109.9124,84.61,61,0,8.93,clear sky
213,Meadow Lake,US,34.8014,-106.5436,69.96,31,0,15.68,clear sky
214,Rumuruti,KE,0.267,36.5389,63.36,75,100,10.27,overcast clouds
215,Emerald,AU,-23.5333,148.1667,61.34,83,5,8.86,clear sky
